year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2014,14/11/2014,73000,Second-Hand,,"180 Springdale Rd, Edenmore, Dublin 5, D05 P2F5, Ireland",53.3884926,-6.1904652,Dublin City
2014,24/07/2014,260000,Second-Hand,,"Dublin, Ireland",53.3498053,-6.2603097,Dublin City
2015,08/06/2015,285000,Second-Hand,,"Harold Bridge Court, BÃƒÂ³thar Chrois Araild, Harold's Cross, Dublin 6W, Co. Dublin, Ireland",53.3289416,-6.2767817,Dublin City
2016,12/10/2016,790000,Second-Hand,,"23 Offington Park, Howth Demesne, Dublin 13, D13 C5C8, Ireland",53.3881578,-6.09752,Fingal
2013,31/01/2013,575000,Second-Hand,,"19 Shrewsbury Park, Dublin 4, D04 E2F4, Ireland",53.3251957,-6.2180251,Dublin City
2015,08/10/2015,190000,Second-Hand,,"Dublin, Ireland",53.3498053,-6.2603097,Dublin City
2014,31/10/2014,203000,Second-Hand,,"9 Beaumont Rd, Beaumont, Dublin 9, D09 FT51, Ireland",53.3813556,-6.2385353,Dublin City
2015,08/04/2015,100435,Second-Hand,,"51 Newbury Wood, Clonshagh, Dublin 17, D17 V129, Ireland",53.4012996,-6.2110746,Dublin City
2014,08/12/2014,210000,Second-Hand,,"83 Boroimhe Beech, Nevinstown West, Swords, Co. Dublin, K67 Y6K6, Ireland",53.4435719,-6.2334068,Fingal
2015,18/09/2015,660000,Second-Hand,,"11 Church Rd, Dalkey, Co. Dublin, A96 XH39, Ireland",53.2803412,-6.1058941,DLR
2014,27/06/2014,1010000,Second-Hand,,"Byways, Adelaide Rd, Glenageary, Dublin, Ireland",53.2819748,-6.1233503,DLR
2012,15/03/2012,510000,Second-Hand,,"1 Cloister Ave, Stillorgan Park, Blackrock, Co. Dublin, A94 C6Y3, Ireland",53.2915062,-6.1812889,DLR
2014,25/08/2014,153000,Second-Hand,,"2 Cromcastle Cl, Kilmore, Dublin 5, D05 R2X5, Ireland",53.3939082,-6.2201702,Dublin City
2013,23/08/2013,501501,Second-Hand,,"114 Springhill Ave, Deansgrange, Blackrock, Co. Dublin, A94 TR52, Ireland",53.2846805,-6.172769,DLR
2013,23/08/2013,375000,Second-Hand,,"4 Shrewsbury Park, Dublin 4, Ireland",53.3247176,-6.219163,Dublin City
2015,21/05/2015,535000,Second-Hand,,"8 Parnell Rd, Crumlin, Dublin, Ireland",53.3327034,-6.2955594,Dublin City
2014,01/12/2014,218675,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"Lusk, Co. Dublin, Ireland",53.5263264,-6.1658841,Fingal
