year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2015,15/01/2015,158000,New,,"37 Monksfield Ct, Knockmitten, Dublin 22, D22 AK27, Ireland",53.3232965,-6.378026,South Dublin
2017,10/01/2017,225000,New,,"Cranford Court, Stillorgan Rd, Priesthouse, Dublin 4, Ireland",53.3103832,-6.2161727,DLR
2013,08/11/2013,741000,New,,"69 Brighton Rd, Dublin, Ireland",53.3121526,-6.27809,Dublin City
2015,15/06/2015,111834,New,greater than or equal to 38 sq metres and less than 125 sq metres,"302, Ballymount Cross Business Park, Ballymount Rd Lower, Ballymount, Dublin 24, Ireland",53.3131493,-6.3596101,South Dublin
2012,20/01/2012,325000,New,,"62 Marley Ct, Whitehall, Dublin, Ireland",53.2863681,-6.2672388,DLR
2017,06/01/2017,365000,New,,"305 The Crescent, Belgard Heights, Dublin 24, D24 F6K8, Ireland",53.2975199,-6.3818097,South Dublin
2016,07/11/2016,332000,New,,"7 Derrynane Parade, Phibsborough, Dublin 7, D07 E0K8, Ireland",53.3609319,-6.2637263,Dublin City
2012,27/07/2012,143612,New,greater than or equal to 38 sq metres and less than 125 sq metres,"204, Beacon South Quarter, Sandyford, Dublin 18, Ireland",53.277902,-6.2175132,DLR
2017,20/04/2017,625000,New,,"13 Grace Park Gardens, Drumcondra, Dublin 9, D09 VY59, Ireland",53.3684128,-6.2480925,Dublin City
2013,30/04/2013,280000,New,,"10 Skerries Rd, Kilsough North, Balbriggan, Co. Dublin, K32 X583, Ireland",53.6021866,-6.1663533,Fingal
2014,08/07/2014,160000,New,,"57 Bunratty Ave, Bonnybrook, Dublin 17, D17 FC89, Ireland",53.3948969,-6.2037146,Dublin City
2014,22/07/2014,98100,New,,"32 Clearstream Ct, Finglas North, Dublin, Ireland",53.3927908,-6.3002166,Dublin City
2013,06/08/2013,315000,New,,"4 Bellevue Park Ave, Blackrock, Co. Dublin, A94 Y072, Ireland",53.3121678,-6.2083064,Dublin City
2015,07/08/2015,246000,New,,"9 Anglesea House, Ballsbridge Court, Serpentine Ave, Dublin 4, Ireland",53.3314503,-6.2264672,Dublin City
2013,27/09/2013,263000,New,,"31 Rosemount Terrace, Booterstown, Dublin, Ireland",53.3049466,-6.2013929,DLR
2017,14/03/2017,217157,New,greater than or equal to 38 sq metres and less than 125 sq metres,"33 Glenageary Rd Upper, Honeypark, Dublin, Ireland",53.2827569,-6.141109,DLR
2014,13/10/2014,488986,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Brickfield Dr, Honeypark, Dublin, Ireland",53.279871,-6.1462474,DLR
2016,22/06/2016,335000,New,,"30 Monalea Grove, Knocklyon, Dublin 24, D24 Y6X3, Ireland",53.2814165,-6.3316143,South Dublin
2015,03/03/2015,100000,New,,"Dublin, Ireland",53.3498053,-6.2603097,Dublin City
2014,03/10/2014,129798,New,,"Portland St N, Ballybough, Dublin, Ireland",53.3596158,-6.2562152,Dublin City
2015,09/04/2015,273127,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Brandon Square, Waterville, Blanchardstown, Co. Dublin, Ireland",53.3927045,-6.3660461,Fingal
2014,14/04/2014,225000,New,,"34 Bigger Rd, Walkinstown, Dublin 12, D12 YYT2, Ireland",53.317427,-6.3264604,Dublin City
2015,10/12/2015,1315000,New,,"5 Brighton Ave, Mountashton, Blackrock, Co. Dublin, A94 H299, Ireland",53.2948309,-6.1567948,DLR
2012,18/06/2012,400000,New,,"70 Rathfarnham Wood, Rathfarnham, Dublin 14, D14 F5F6, Ireland",53.296524,-6.2802022,South Dublin
2014,07/10/2014,288528,New,greater than or equal to 38 sq metres and less than 125 sq metres,"207, The Cubes Offices Beacon South Quarter, Sandyford, Dublin 18, Ireland",53.2775885,-6.2155982,DLR
2016,01/12/2016,910000,New,,"45 Warner's Ln, Dublin 6, D06 AK13, Ireland",53.331114,-6.2535093,Dublin City
2015,15/06/2015,132522,New,greater than or equal to 38 sq metres and less than 125 sq metres,"345, West Park Gate, BÃƒÂ³thar an tSeanbhÃƒÂ¡bhÃƒÂºin, Tallaght, Dublin 24, Ireland",53.2873796,-6.3625987,South Dublin
2015,30/09/2015,360000,New,,"90 Bunbury Gate Cres, Outlands, Swords, Co. Dublin, K67 CF96, Ireland",53.4689433,-6.2382883,Fingal
2015,04/12/2015,400000,New,,"64 Westbourne Lodge, Ballyroan, Dublin 16, D16 AT88, Ireland",53.2877565,-6.3200204,South Dublin
2013,01/07/2013,131000,New,,"Bath Ave, Shaws Ln, Dublin, Ireland",53.3373541,-6.2308857,Dublin City
2013,01/08/2013,225000,New,,"62 Cherbury Ct, Merrion, Dublin, Ireland",53.3008971,-6.1987221,DLR
2015,22/12/2015,138000,New,,"21 Ellensborough Lodge, Kiltipper, Dublin, Ireland",53.2685024,-6.3698481,South Dublin
2016,29/02/2016,127000,New,,"43, Carnegie Court, North St, Townparks, Swords, Co. Dublin, Ireland",53.461914,-6.2179069,Fingal
2012,12/03/2012,258000,New,,"94 St David's, Beaumont, Dublin 5, D05 W9K6, Ireland",53.3819907,-6.2174227,Dublin City
2014,10/10/2014,502000,New,,"12 College Park, Terenure, Dublin 6W, Co. Dublin, D6W PX71, Ireland",53.3047723,-6.3049641,South Dublin
2014,12/02/2014,106000,New,,"7 Corduff Cres, Corduff, Dublin 15, D15 CV0N, Ireland",53.3964685,-6.3773689,Fingal
2017,10/02/2017,524229,New,greater than or equal to 125 sq metres,"Woodbank, Dublin Rd, Shankill, Dublin 18, Ireland",53.2368594,-6.1277419,DLR
2016,07/06/2016,169000,New,,"56 Maplewood Rd, Springfield, Dublin 24, D24 V3V7, Ireland",53.2869484,-6.3846743,South Dublin
