year,postal_code,price,property_size_description,formatted_address,latitude,longitude,geo_county
2012,Dublin 18,83700.44,greater than or equal to 38 sq metres and less than 125 sq metres,"159 Rockview, Sandyford, Dublin, Ireland",53.2697016,-6.2409168,Dn Laoghaire-Rathdown
2012,,113821,greater than or equal to 38 sq metres and less than 125 sq metres,"Turvey Ave, Donabate, Co. Dublin, Ireland",53.4909271,-6.1747357,Fingal
2012,,290749,greater than or equal to 38 sq metres and less than 125 sq metres,"16 Aubrey Grove, Shankill, Dublin 18, D18 P920, Ireland",53.230807,-6.121075,Dn Laoghaire-Rathdown
2012,,259912,greater than or equal to 38 sq metres and less than 125 sq metres,"Beverton Wood, Beaverstown, Donabate, Co. Dublin, Ireland",53.4908849,-6.159376,Fingal
2012,,180000,greater than or equal to 38 sq metres and less than 125 sq metres,"16 Castlegate Grove, Adamstown Castle, Lucan, Co. Dublin, K78 YX01, Ireland",53.3390065,-6.4560846,South Dublin
2012,,167401,greater than or equal to 38 sq metres and less than 125 sq metres,"16 Chapel Cres, Riverston Abbey, Dublin 7, D07 PE83, Ireland",53.3723253,-6.3103945,Dublin City
2012,,225889,greater than or equal to 38 sq metres and less than 125 sq metres,"Rathcoole, Co. Dublin, Ireland",53.2817307,-6.466167,South Dublin
2012,,275990,greater than or equal to 38 sq metres and less than 125 sq metres,"Rathcoole, Co. Dublin, Ireland",53.2817307,-6.466167,South Dublin
2012,,670375,greater than 125 sq metres,"16 Seamount Abbey, Malahide, Co. Dublin, K36 FX49, Ireland",53.4429415,-6.1483763,Fingal
2012,,132114.54,greater than or equal to 38 sq metres and less than 125 sq metres,"16 Slade Castle Wood, Moneyatta Commons, Saggart, Co. Dublin, D24 HN27, Ireland",53.2785683,-6.4470117,South Dublin
2012,,220264.31,greater than or equal to 38 sq metres and less than 125 sq metres,"16 The Blvd Cruise Park, Tyrrelstown, Dublin, Ireland",53.4197534,-6.3918154,Fingal
2012,,120000,greater than or equal to 38 sq metres and less than 125 sq metres,"Ratoath Rd, Ashtown, Dublin 7, Ireland",53.376394,-6.3090148,Dublin City
2012,,242290.74,greater than or equal to 38 sq metres and less than 125 sq metres,"Booterstown Wood, Booterstown Ave, Merrion, Blackrock, Co. Dublin, Ireland",53.2992523,-6.204387,Dn Laoghaire-Rathdown
2012,Dublin 6w,525000,greater than or equal to 38 sq metres and less than 125 sq metres,"17 Wainsfort Manor Dr, College Square, Terenure, Dublin 6W, Co. Dublin, D6W Y957, Ireland",53.3067014,-6.3093391,South Dublin
2012,,244800,greater than or equal to 38 sq metres and less than 125 sq metres,"Crosforge, Saggart, Co. Dublin, Ireland",53.280353,-6.4478643,South Dublin
2012,,160352,greater than or equal to 38 sq metres and less than 125 sq metres,"17 Herberton Walk, Rialto, Dublin 8, D08 X9C4, Ireland",53.3371358,-6.2917353,Dublin City
2012,,132115,greater than or equal to 38 sq metres and less than 125 sq metres,"17 Slade Castle Ave, Moneyatta Commons, Saggart, Co. Dublin, D24 H275, Ireland",53.2785186,-6.4458675,South Dublin
2012,,255000,greater than or equal to 38 sq metres and less than 125 sq metres,"Rathcoole, Co. Dublin, Ireland",53.2817307,-6.466167,South Dublin
2012,,528635,greater than 125 sq metres,"17 The View, Robswalls, Malahide, Co. Dublin, K36 ED34, Ireland",53.4443252,-6.1386352,Fingal
